Date,VIX,VXX,SPY
2018-09-12,13.14,1838.08,289.12
2018-09-13,12.37,1788.16,290.83
2018-09-14,12.07,1750.4,290.88
2018-09-17,13.68,1804.8,289.34
2018-09-18,12.79,1795.2,290.91
2018-09-19,11.75,1733.12,291.22
2018-09-20,11.8,1704.96,293.58
2018-09-21,11.68,1700.22,291.99
2018-09-24,12.2,1706.88,291.02
2018-09-25,12.42,1722.88,290.75
2018-09-26,12.89,1728.0,289.88
2018-09-27,12.41,1711.36,290.69
2018-09-28,12.12,1708.8,290.72
2018-10-01,12.0,1689.6,291.73
2018-10-02,12.05,1689.6,291.56
2018-10-03,11.61,1676.8,291.72
2018-10-04,14.22,1779.2,289.44
2018-10-05,14.82,1807.36,287.82
2018-10-08,15.69,1832.96,287.82
2018-10-09,15.95,1861.12,287.4
2018-10-10,22.96,2172.8,278.3
2018-10-11,24.98,2359.04,272.17
2018-10-12,21.31,2180.48,275.95
2018-10-15,21.3,2193.28,274.4
2018-10-16,17.62,2053.12,280.4
2018-10-17,17.4,2077.44,280.45
2018-10-18,20.06,2230.4,276.4
2018-10-19,19.89,2193.28,276.25
2018-10-22,19.64,2213.12,275.01
2018-10-23,20.71,2296.96,273.61
2018-10-24,25.23,2474.24,265.32
2018-10-25,24.22,2423.04,270.08
2018-10-26,24.16,2559.36,265.33
2018-10-29,24.7,2581.76,263.86
2018-10-30,23.35,2483.84,267.77
2018-10-31,21.23,2405.12,270.63
2018-11-01,19.34,2327.68,273.51
2018-11-02,19.51,2346.24,271.89
2018-11-05,19.96,2323.84,273.39
2018-11-06,19.91,2245.12,275.12
2018-11-07,16.36,2089.6,281.01
2018-11-08,16.72,2080.0,280.5
2018-11-09,17.36,2126.91,277.76
2018-11-12,20.45,2307.84,272.57
2018-11-13,20.02,2325.12,272.06
2018-11-14,21.25,2385.28,270.2
2018-11-15,19.98,2360.32,273.02
2018-11-16,18.14,2252.16,273.73
2018-11-19,20.1,2384.0,269.1
2018-11-20,22.48,2517.12,264.12
2018-11-21,20.8,2458.24,265.02
2018-11-23,21.52,2479.36,263.25
2018-11-26,18.9,2339.2,267.5
2018-11-27,19.02,2297.6,268.4
2018-11-28,18.49,2229.76,274.58
2018-11-29,18.79,2270.08,273.98
2018-11-30,18.07,2206.08,275.65
2018-12-03,16.44,2086.4,279.3
2018-12-04,20.74,2357.76,270.25
2018-12-06,21.19,2418.56,269.84
2018-12-07,23.23,2580.48,263.57
2018-12-10,22.64,2555.52,264.07
2018-12-11,21.76,2555.97,264.13
2018-12-12,21.46,2535.68,265.46
2018-12-13,20.65,2496.64,265.37
2018-12-14,21.63,2598.4,260.47
2018-12-17,24.52,2725.76,255.36
2018-12-18,25.58,2738.56,255.08
2018-12-19,25.58,2728.96,251.26
2018-12-20,28.38,2867.84,247.17
2018-12-21,30.11,3012.48,240.7
2018-12-24,36.07,3163.52,234.34
2018-12-26,30.41,2995.84,246.18
2018-12-27,29.96,3122.56,248.07
2018-12-28,28.34,3117.44,247.75
2018-12-31,25.42,3007.36,249.92
2019-01-02,23.22,2927.36,250.18
2019-01-03,25.45,3048.96,244.21
2019-01-04,21.38,2807.04,252.39
2019-01-07,21.4,2744.32,254.38
2019-01-08,20.47,2688.64,256.77
2019-01-09,19.98,2625.28,257.97
2019-01-10,19.5,2597.76,258.88
2019-01-11,18.19,2513.28,258.98
2019-01-14,19.07,2520.32,257.4
2019-01-15,18.6,2410.88,260.35
2019-01-16,19.04,2459.52,260.98
2019-01-17,18.06,2432.0,262.96
2019-01-18,17.8,2371.84,266.46
2019-01-22,20.8,2580.48,262.86
2019-01-23,19.52,2566.4,263.41
2019-01-24,18.89,2475.52,263.55
2019-01-25,17.42,2382.72,265.78
2019-01-28,18.87,2481.28,263.76
2019-01-29,19.13,2474.24,263.41
2019-01-30,17.66,2365.44,267.58
2019-01-31,16.57,2267.52,269.93
2019-02-01,16.14,2245.76,270.06
2019-02-04,15.73,2176.0,271.96
2019-02-05,15.57,2157.44,273.1
2019-02-06,15.38,2145.92,272.74
2019-02-07,16.37,2217.6,270.14
2019-02-08,15.72,2190.72,270.47
2019-02-11,15.97,2167.04,270.62
2019-02-12,15.43,2128.0,274.1
2019-02-13,15.65,2122.88,274.99
2019-02-14,16.22,2161.28,274.38
2019-02-15,14.91,2085.76,277.37
2019-02-19,14.88,2092.16,277.85
2019-02-20,14.02,2008.32,278.41
2019-02-21,14.46,2034.56,277.42
2019-02-22,13.51,1957.76,279.14
2019-02-25,14.85,1992.96,279.52
2019-02-26,15.17,2009.6,279.32
2019-02-27,14.7,2011.52,279.2
2019-02-28,14.78,2010.24,278.68
2019-03-01,13.57,1918.72,280.42
2019-03-04,14.63,1965.44,279.4
2019-03-05,14.74,1976.96,279.02
2019-03-06,15.74,2035.2,277.33
2019-03-07,16.59,2112.64,275.01
2019-03-08,16.05,2126.72,274.46
2019-03-11,14.33,1971.84,278.44
2019-03-12,13.77,1916.16,279.49
2019-03-13,13.41,1895.68,281.34
2019-03-14,13.5,1864.32,281.16
2019-03-15,12.88,1829.76,281.31
2019-03-18,13.1,1834.24,282.33
2019-03-19,13.56,1846.4,282.4
2019-03-20,13.91,1866.24,281.55
2019-03-21,13.63,1841.92,284.73
2019-03-22,16.48,2053.12,279.25
2019-03-25,16.33,2063.36,279.04
2019-03-26,14.68,1946.88,281.12
2019-03-27,15.15,1976.32,279.65
2019-03-28,14.43,1932.16,280.71
2019-03-29,13.71,1872.64,282.48
